Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,12.3,62.84
60.1,12.24,62.82
90.1,12.31,62.85
120.2,12.27,62.81
150.3,12.31,62.81
180.3,12.29,62.82
210.4,12.34,62.84
240.4,12.26,62.84
270.4,12.26,62.84
300.5,12.3,62.85
330.5,12.33,62.83
360.6,12.33,62.84
390.7,12.34,62.83
420.7,12.35,62.84
450.7,12.35,62.8
480.7,12.33,62.82
510.8,12.29,62.82
540.8,12.34,62.83
570.9,12.27,62.8
600.9,12.29,62.84
631.0,12.31,62.85
661.0,12.33,62.83
691.0,12.33,62.81
721.1,12.31,62.81
751.1,12.35,62.82
781.1,12.4,62.84
811.1,12.33,62.84
841.1,12.36,62.82
871.2,12.38,62.84
901.2,12.32,62.82
931.2,12.32,62.82
961.3,12.34,62.82
991.3,12.35,62.83
1021.4,12.31,62.83
1051.4,12.34,62.84
1081.4,12.27,62.8
1111.5,12.32,62.83
1141.5,12.36,62.86
1171.5,12.31,62.84
1201.6,12.31,62.85
1231.6,12.35,62.81
1261.7,12.31,62.82
1291.7,12.19,62.84
1321.8,12.35,62.83
1351.8,12.33,62.86
1381.8,12.36,62.85
1411.8,12.28,62.82
1441.9,12.38,62.84
1471.9,12.38,62.83
1501.9,12.33,62.84
1532.0,12.27,62.83
1562.0,12.33,62.81
1592.0,12.32,62.84
1622.1,12.33,62.84
1652.1,12.37,62.83
1682.2,12.31,62.86
1712.2,12.32,62.85
1742.2,12.32,62.83
1772.3,12.34,62.82
