Elapsed_Time_Sec,Avg_System_FPS,Avg_GPU_Latency_ms
30.0,24.51,24.64
60.1,25.51,24.06
90.1,26.18,24.06
120.1,25.85,24.15
150.1,24.9,24.44
180.1,25.66,24.07
210.1,25.74,24.23
240.2,25.42,24.43
270.2,25.2,24.47
300.2,25.55,24.11
330.2,25.0,24.65
360.3,26.09,24.06
390.3,25.03,24.36
420.3,25.08,24.51
450.3,25.66,24.31
480.3,25.62,24.18
510.4,25.86,24.06
540.4,24.54,24.61
570.4,25.91,24.06
600.4,24.87,24.58
630.5,25.49,24.06
660.5,24.7,25.02
690.5,25.46,24.06
720.5,25.42,24.22
750.5,26.3,24.06
780.6,25.45,24.21
810.6,25.75,24.21
840.6,25.6,24.08
870.6,25.0,24.48
900.6,24.7,24.55
930.6,25.74,24.06
960.7,25.55,24.26
990.7,24.63,24.6
1020.7,25.64,24.06
1050.7,25.85,24.13
1080.7,25.7,24.18
1110.7,25.45,24.2
1140.8,26.05,24.06
1170.8,25.67,24.15
1200.9,26.02,24.06
1230.9,25.72,24.06
1260.9,25.82,24.28
1290.9,25.73,24.06
1320.9,25.82,24.06
1350.9,25.06,24.44
1380.9,25.62,24.06
1410.9,25.96,24.06
1440.9,25.4,24.17
1471.0,25.24,24.35
1501.0,24.49,24.59
1531.0,26.27,24.06
1561.0,25.78,24.06
1591.1,25.72,24.14
1621.1,24.79,24.47
1651.1,25.84,24.06
1681.1,25.44,24.21
1711.2,26.05,24.11
1741.2,26.4,24.06
1771.2,25.64,24.33
